Response ID,Real image ID,Synthetic Image ID,Real Image Response,Syn image response,Date
85,27,163,real,synthetic,2020-01-02T20:12:48.014325
86,57,132,synthetic,synthetic,2020-01-02T20:12:48.014325
87,10,146,real,synthetic,2020-01-02T20:12:48.014325
88,25,134,synthetic,synthetic,2020-01-02T20:12:48.014325
89,117,205,real,real,2020-01-02T20:12:48.014325
90,86,152,synthetic,real,2020-01-02T20:12:48.014325
91,44,202,real,synthetic,2020-01-02T20:12:48.014325
92,26,150,real,real,2020-01-02T20:12:48.014325
93,78,122,real,synthetic,2020-01-02T20:12:48.014325
94,114,242,synthetic,real,2020-01-02T20:12:48.014325
95,98,208,synthetic,real,2020-01-02T20:12:48.014325
96,33,194,real,synthetic,2020-01-02T20:12:48.014325
97,101,228,real,synthetic,2020-01-02T20:12:48.014325
98,32,130,real,real,2020-01-02T20:12:48.014325
99,27,138,real,synthetic,2020-01-02T20:12:48.014325
100,19,214,synthetic,synthetic,2020-01-02T20:12:48.014325
101,4,239,synthetic,real,2020-01-02T20:12:48.014325
102,74,229,synthetic,real,2020-01-02T20:12:48.014325
103,105,222,real,real,2020-01-02T20:12:48.014325
104,92,157,synthetic,real,2020-01-02T20:12:48.014325
105,38,169,synthetic,real,2020-01-02T20:12:48.014325
106,107,228,synthetic,real,2020-01-02T20:12:48.014325
107,111,123,real,real,2020-01-02T20:12:48.014325
108,49,227,synthetic,synthetic,2020-01-02T20:12:48.014325
109,28,237,synthetic,real,2020-01-02T20:12:48.014325
110,119,177,synthetic,real,2020-01-02T20:12:48.014325
111,9,137,synthetic,synthetic,2020-01-02T20:12:48.014325
112,33,160,synthetic,synthetic,2020-01-02T20:12:48.014325
113,83,240,synthetic,synthetic,2020-01-02T20:12:48.014325
114,75,216,synthetic,synthetic,2020-01-02T20:12:48.014325
115,63,154,real,synthetic,2020-01-02T20:12:48.014325
116,15,223,real,synthetic,2020-01-02T20:12:48.014325
117,62,139,real,real,2020-01-02T20:12:48.014325
118,56,147,real,synthetic,2020-01-02T20:12:48.014325
119,48,216,synthetic,synthetic,2020-01-02T20:12:48.014325
120,54,204,real,synthetic,2020-01-02T20:12:48.014325
121,95,166,real,real,2020-01-02T20:12:48.014325
122,88,216,real,synthetic,2020-01-02T20:12:48.014325
123,50,159,real,synthetic,2020-01-02T20:12:48.014325
124,29,131,synthetic,synthetic,2020-01-02T20:12:48.014325
125,24,162,real,real,2020-01-02T20:12:48.014325
126,10,224,real,synthetic,2020-01-02T20:12:48.014325
127,114,178,synthetic,real,2020-01-02T20:12:48.014325
128,83,204,real,synthetic,2020-01-02T20:12:48.014325
129,25,164,real,real,2020-01-02T20:12:48.014325
130,113,195,synthetic,synthetic,2020-01-02T20:12:48.014325
131,22,124,real,synthetic,2020-01-02T20:12:48.014325
132,58,160,synthetic,synthetic,2020-01-02T20:12:48.014325
133,98,164,real,synthetic,2020-01-02T20:12:48.014325
134,110,134,synthetic,synthetic,2020-01-02T20:12:48.014325
135,66,144,real,real,2020-01-02T20:12:48.014325
136,20,125,synthetic,real,2020-01-02T20:12:48.014325
137,82,207,synthetic,real,2020-01-02T20:12:48.014325
138,110,157,real,real,2020-01-02T20:12:48.014325
139,103,245,real,real,2020-01-02T20:12:48.014325
140,44,240,real,real,2020-01-02T20:12:48.014325
141,71,193,synthetic,real,2020-01-02T20:12:48.014325
142,53,209,synthetic,synthetic,2020-01-02T20:12:48.014325
143,36,243,synthetic,synthetic,2020-01-02T20:12:48.014325
144,104,121,real,synthetic,2020-01-02T20:12:48.014325
145,48,143,real,real,2020-01-02T20:12:48.014325
146,110,129,real,real,2020-01-02T20:12:48.014325
147,71,146,synthetic,real,2020-01-02T20:12:48.014325
148,35,246,real,synthetic,2020-01-02T20:12:48.014325
149,84,224,synthetic,synthetic,2020-01-02T20:12:48.014325
150,7,152,real,real,2020-01-02T20:12:48.014325
151,73,194,real,synthetic,2020-01-02T20:12:48.014325
152,32,228,real,synthetic,2020-01-02T20:12:48.014325
153,107,124,synthetic,real,2020-01-02T20:12:48.014325
154,107,247,real,real,2020-01-02T20:12:48.014325
155,81,217,real,synthetic,2020-01-02T20:12:48.014325
156,41,208,real,synthetic,2020-01-02T20:12:48.014325
157,47,136,real,real,2020-01-02T20:12:48.014325
158,31,156,synthetic,real,2020-01-02T20:12:48.014325
159,11,184,synthetic,synthetic,2020-01-02T20:12:48.014325
160,59,186,real,real,2020-01-02T20:12:48.014325
161,19,198,synthetic,real,2020-01-02T20:12:48.014325
162,84,215,synthetic,real,2020-01-02T20:12:48.014325
163,31,234,real,synthetic,2020-01-02T20:12:48.014325
164,1,234,synthetic,real,2020-01-02T20:12:48.014325
165,67,216,synthetic,synthetic,2020-01-02T20:12:48.014325
166,24,153,real,synthetic,2020-01-02T20:12:48.014325
167,31,213,real,real,2020-01-02T20:12:48.014325
168,28,218,real,real,2020-01-02T20:12:48.014325
169,45,167,synthetic,synthetic,2020-01-02T20:12:48.014325
170,62,206,synthetic,real,2020-01-02T20:12:48.014325
171,53,137,real,synthetic,2020-01-02T20:12:48.014325
172,55,194,real,synthetic,2020-01-02T20:12:48.014325
173,108,220,synthetic,synthetic,2020-01-02T20:12:48.014325
174,103,238,synthetic,synthetic,2020-01-02T20:12:48.014325
175,120,224,synthetic,synthetic,2020-01-02T20:12:48.014325
176,95,166,synthetic,synthetic,2020-01-02T20:12:48.014325
177,85,144,synthetic,real,2020-01-02T20:12:48.014325
178,18,208,synthetic,synthetic,2020-01-02T20:12:48.014325
179,95,227,real,synthetic,2020-01-02T20:12:48.014325
180,94,128,synthetic,real,2020-01-02T20:12:48.014325
181,92,212,synthetic,synthetic,2020-01-02T20:12:48.014325
182,25,204,real,synthetic,2020-01-02T20:12:48.014325
183,10,226,synthetic,synthetic,2020-01-02T20:12:48.014325
184,78,192,real,real,2020-01-02T20:12:48.014325
185,93,243,real,synthetic,2020-01-02T20:12:48.014325
186,33,173,synthetic,real,2020-01-02T20:12:48.014325
187,59,148,real,synthetic,2020-01-02T20:12:48.014325
188,52,209,synthetic,real,2020-01-02T20:12:48.014325
189,68,137,synthetic,real,2020-01-02T20:12:48.014325
190,3,173,real,synthetic,2020-01-02T20:12:48.014325
191,47,172,synthetic,synthetic,2020-01-02T20:12:48.014325
192,83,246,real,synthetic,2020-01-02T20:12:48.014325
193,67,181,real,real,2020-01-02T20:12:48.014325
194,105,171,synthetic,synthetic,2020-01-02T20:12:48.014325
195,50,161,real,synthetic,2020-01-02T20:12:48.014325
196,99,162,synthetic,synthetic,2020-01-02T20:12:48.014325
197,74,132,real,real,2020-01-02T20:12:48.014325
198,83,226,real,real,2020-01-02T20:12:48.014325
199,106,205,synthetic,synthetic,2020-01-02T20:12:48.014325
200,78,175,real,synthetic,2020-01-02T20:12:48.014325
201,66,143,real,synthetic,2020-01-02T20:12:48.014325
202,90,193,synthetic,synthetic,2020-01-02T20:12:48.014325
203,93,206,synthetic,real,2020-01-02T20:12:48.014325
204,19,128,synthetic,real,2020-01-02T20:12:48.014325
205,114,192,synthetic,real,2020-01-02T20:12:48.014325
206,48,185,real,real,2020-01-02T20:12:48.014325
207,43,173,real,real,2020-01-02T20:12:48.014325
208,20,179,synthetic,real,2020-01-02T20:12:48.014325
209,31,157,real,synthetic,2020-01-02T20:12:48.014325
210,1,154,real,synthetic,2020-01-02T20:12:48.014325
211,34,152,real,real,2020-01-02T20:12:48.014325
212,86,248,synthetic,real,2020-01-02T20:12:48.014325
213,22,205,synthetic,synthetic,2020-01-02T20:12:48.014325
214,18,189,synthetic,synthetic,2020-01-02T20:12:48.014325
215,78,243,real,real,2020-01-02T20:12:48.014325
216,106,241,synthetic,real,2020-01-02T20:12:48.014325
217,16,206,real,real,2020-01-02T20:12:48.014325
218,116,167,real,real,2020-01-02T20:12:48.014325
219,59,152,synthetic,synthetic,2020-01-02T20:12:48.014325
220,90,222,synthetic,real,2020-01-02T20:12:48.014325
221,78,187,synthetic,real,2020-01-02T20:12:48.014325
222,13,153,synthetic,real,2020-01-02T20:12:48.014325
223,44,187,synthetic,real,2020-01-02T20:12:48.014325
224,98,233,real,real,2020-01-02T20:12:48.014325
225,83,206,real,real,2020-01-02T20:12:48.014325
226,60,170,synthetic,real,2020-01-02T20:12:48.014325
227,114,122,synthetic,synthetic,2020-01-02T20:12:48.014325
228,37,231,real,synthetic,2020-01-02T20:12:48.014325
229,84,243,real,real,2020-01-02T20:12:48.014325
230,6,176,synthetic,real,2020-01-02T20:12:48.014325
231,9,183,real,real,2020-01-02T20:12:48.014325
232,68,132,synthetic,real,2020-01-02T20:12:48.014325
233,56,185,synthetic,real,2020-01-02T20:12:48.014325
234,113,236,synthetic,real,2020-01-02T20:12:48.014325
235,58,123,real,synthetic,2020-01-02T20:12:48.014325
236,30,241,synthetic,synthetic,2020-01-02T20:12:48.014325
237,101,222,real,real,2020-01-02T20:12:48.014325
238,39,184,real,real,2020-01-02T20:12:48.014325
239,118,235,synthetic,real,2020-01-02T20:12:48.014325
240,26,224,synthetic,synthetic,2020-01-02T20:12:48.014325
241,26,208,synthetic,real,2020-01-02T20:12:48.014325
242,8,225,real,real,2020-01-02T20:12:48.014325
243,66,246,synthetic,synthetic,2020-01-02T20:12:48.014325
244,113,248,synthetic,real,2020-01-02T20:12:48.014325
245,4,205,synthetic,synthetic,2020-01-02T20:12:48.014325
246,107,220,real,synthetic,2020-01-02T20:12:48.014325
247,102,192,synthetic,real,2020-01-02T20:12:48.014325
248,70,217,real,synthetic,2020-01-02T20:12:48.014325
249,66,142,synthetic,real,2020-01-02T20:12:48.014325
250,33,183,synthetic,real,2020-01-02T20:12:48.014325
251,74,135,synthetic,synthetic,2020-01-02T20:12:48.014325
252,29,133,real,synthetic,2020-01-02T20:12:48.014325
253,87,149,synthetic,real,2020-01-02T20:12:48.014325
254,64,137,real,real,2020-01-02T20:12:48.014325
255,66,147,synthetic,synthetic,2020-01-02T20:12:48.014325
256,18,219,real,synthetic,2020-01-02T20:12:48.014325
257,79,146,real,synthetic,2020-01-02T20:12:48.014325
258,17,212,real,real,2020-01-02T20:12:48.014325
259,8,196,real,synthetic,2020-01-02T20:12:48.014325
260,78,222,synthetic,real,2020-01-02T20:12:48.014325
261,56,137,real,synthetic,2020-01-02T20:12:48.014325
262,86,128,real,real,2020-01-02T20:12:48.014325
263,10,225,real,real,2020-01-02T20:12:48.014325
264,94,143,synthetic,real,2020-01-02T20:12:48.014325
265,83,175,synthetic,synthetic,2020-01-02T20:12:48.014325
266,117,139,synthetic,synthetic,2020-01-02T20:12:48.014325
267,116,143,synthetic,synthetic,2020-01-02T20:12:48.014325
268,90,165,real,real,2020-01-02T20:12:48.014325
269,91,155,synthetic,real,2020-01-02T20:12:48.014325
270,15,144,synthetic,synthetic,2020-01-02T20:12:48.014325
271,72,197,real,synthetic,2020-01-02T20:12:48.014325
272,26,204,synthetic,synthetic,2020-01-02T20:12:48.014325
273,64,215,synthetic,synthetic,2020-01-02T20:12:48.014325
274,22,178,real,synthetic,2020-01-02T20:12:48.014325
275,76,124,real,synthetic,2020-01-02T20:12:48.014325
276,18,148,synthetic,real,2020-01-02T20:12:48.014325
277,58,190,synthetic,real,2020-01-02T20:12:48.014325
278,75,190,synthetic,synthetic,2020-01-02T20:12:48.014325
279,45,131,synthetic,synthetic,2020-01-02T20:12:48.014325
280,30,222,synthetic,real,2020-01-02T20:12:48.014325
281,26,208,real,real,2020-01-02T20:12:48.014325
282,93,205,synthetic,synthetic,2020-01-02T20:12:48.014325
283,69,236,synthetic,real,2020-01-02T20:12:48.014325
284,116,137,synthetic,synthetic,2020-01-02T20:12:48.014325
285,36,159,synthetic,real,2020-01-02T20:12:48.014325
286,109,204,synthetic,real,2020-01-02T20:12:48.014325
287,46,221,real,real,2020-01-02T20:12:48.014325
288,60,213,synthetic,synthetic,2020-01-02T20:12:48.014325
289,11,181,synthetic,synthetic,2020-01-02T20:12:48.014325
290,56,172,real,real,2020-01-02T20:12:48.014325
291,51,235,synthetic,real,2020-01-02T20:12:48.014325
292,1,179,synthetic,real,2020-01-02T20:12:48.014325
293,91,154,real,real,2020-01-02T20:12:48.014325
294,52,133,synthetic,synthetic,2020-01-02T20:12:48.014325
295,87,202,real,synthetic,2020-01-02T20:12:48.014325
296,3,155,synthetic,real,2020-01-02T20:12:48.014325
297,79,197,real,synthetic,2020-01-02T20:12:48.014325
298,102,150,synthetic,synthetic,2020-01-02T20:12:48.014325
299,50,175,real,synthetic,2020-01-02T20:12:48.014325
300,15,208,real,real,2020-01-02T20:12:48.014325
301,79,229,real,real,2020-01-02T20:12:48.014325
302,105,175,real,synthetic,2020-01-02T20:12:48.014325
303,118,167,synthetic,synthetic,2020-01-02T20:12:48.014325
304,100,151,synthetic,real,2020-01-02T20:12:48.014325
305,46,185,real,real,2020-01-02T20:12:48.014325
306,13,245,real,synthetic,2020-01-02T20:12:48.014325
307,113,247,real,synthetic,2020-01-02T20:12:48.014325
308,109,123,synthetic,synthetic,2020-01-02T20:12:48.014325
309,106,173,real,real,2020-01-02T20:12:48.014325
310,38,218,real,synthetic,2020-01-02T20:12:48.014325
311,61,182,real,synthetic,2020-01-02T20:12:48.014325
312,82,178,synthetic,synthetic,2020-01-02T20:12:48.014325
313,35,142,synthetic,synthetic,2020-01-02T20:12:48.014325
314,72,222,synthetic,real,2020-01-02T20:12:48.014325
315,113,180,synthetic,synthetic,2020-01-02T20:12:48.014325
316,35,200,synthetic,synthetic,2020-01-02T20:12:48.014325
317,33,220,real,synthetic,2020-01-02T20:12:48.014325
318,35,212,synthetic,real,2020-01-02T20:12:48.014325
319,40,201,synthetic,real,2020-01-02T20:12:48.014325
320,119,209,synthetic,synthetic,2020-01-02T20:12:48.014325
321,41,201,synthetic,synthetic,2020-01-02T20:12:48.014325
322,14,222,real,synthetic,2020-01-02T20:12:48.014325
323,105,164,synthetic,synthetic,2020-01-02T20:12:48.014325
324,23,198,real,synthetic,2020-01-02T20:12:48.014325
325,98,233,real,real,2020-01-02T20:12:48.014325
326,8,210,real,real,2020-01-02T20:12:48.014325
327,19,205,synthetic,synthetic,2020-01-02T20:12:48.014325
328,86,213,real,real,2020-01-02T20:12:48.014325
329,118,170,synthetic,real,2020-01-02T20:12:48.014325
330,80,226,real,synthetic,2020-01-02T20:12:48.014325
331,113,158,synthetic,synthetic,2020-01-02T20:12:48.014325
332,84,183,real,real,2020-01-02T20:12:48.014325
333,30,152,synthetic,real,2020-01-02T20:12:48.014325
334,116,139,real,real,2020-01-02T20:12:48.014325
335,95,234,synthetic,synthetic,2020-01-02T20:12:48.014325
336,30,155,real,synthetic,2020-01-02T20:12:48.014325
337,97,229,real,synthetic,2020-01-02T20:12:48.014325
338,31,200,synthetic,synthetic,2020-01-02T20:12:48.014325
339,80,180,synthetic,real,2020-01-02T20:12:48.014325
340,87,165,real,synthetic,2020-01-02T20:12:48.014325
341,63,148,synthetic,synthetic,2020-01-02T20:12:48.014325
342,89,207,synthetic,synthetic,2020-01-02T20:12:48.014325
343,109,156,real,synthetic,2020-01-02T20:12:48.014325
344,78,175,real,synthetic,2020-01-02T20:12:48.014325
345,82,143,synthetic,real,2020-01-02T20:12:48.014325
346,7,224,real,synthetic,2020-01-02T20:12:48.014325
347,1,188,synthetic,real,2020-01-02T20:12:48.014325
348,26,163,real,real,2020-01-02T20:12:48.014325
349,56,181,real,synthetic,2020-01-02T20:12:48.014325
350,78,206,synthetic,synthetic,2020-01-02T20:12:48.014325
351,26,184,synthetic,synthetic,2020-01-02T20:12:48.014325
352,95,242,real,synthetic,2020-01-02T20:12:48.014325
353,63,197,synthetic,synthetic,2020-01-02T20:12:48.014325
354,82,177,real,real,2020-01-02T20:12:48.014325
355,56,181,real,synthetic,2020-01-02T20:12:48.014325
356,58,175,synthetic,real,2020-01-02T20:12:48.014325
357,90,121,synthetic,synthetic,2020-01-02T20:12:48.014325
358,53,134,synthetic,real,2020-01-02T20:12:48.014325
359,80,187,synthetic,synthetic,2020-01-02T20:12:48.014325
360,21,129,synthetic,synthetic,2020-01-02T20:12:48.014325
361,4,163,synthetic,real,2020-01-02T20:12:48.014325
362,2,208,synthetic,real,2020-01-02T20:12:48.014325
363,12,236,synthetic,synthetic,2020-01-02T20:12:48.014325
364,35,154,synthetic,synthetic,2020-01-02T20:12:48.014325
365,10,195,real,synthetic,2020-01-02T20:12:48.014325
366,64,144,synthetic,synthetic,2020-01-02T20:12:48.014325
367,92,171,real,synthetic,2020-01-02T20:12:48.014325
368,48,239,real,real,2020-01-02T20:12:48.014325
369,112,195,synthetic,synthetic,2020-01-02T20:12:48.014325
370,11,181,synthetic,synthetic,2020-01-02T20:12:48.014325
371,115,189,real,real,2020-01-02T20:12:48.014325
372,107,140,real,synthetic,2020-01-02T20:12:48.014325
373,87,162,synthetic,synthetic,2020-01-02T20:12:48.014325
374,95,155,synthetic,real,2020-01-02T20:12:48.014325
375,10,130,real,synthetic,2020-01-02T20:12:48.014325
376,8,167,synthetic,synthetic,2020-01-02T20:12:48.014325
377,84,162,synthetic,synthetic,2020-01-02T20:12:48.014325
378,61,127,synthetic,real,2020-01-02T20:12:48.014325
379,2,156,synthetic,synthetic,2020-01-02T20:12:48.014325
380,32,121,synthetic,real,2020-01-02T20:12:48.014325
381,107,223,synthetic,synthetic,2020-01-02T20:12:48.014325
382,4,248,real,real,2020-01-02T20:12:48.014325
383,75,135,synthetic,synthetic,2020-01-02T20:12:48.014325
384,51,145,real,real,2020-01-02T20:12:48.014325
385,74,173,synthetic,real,2020-01-02T20:12:48.014325
386,63,135,real,synthetic,2020-01-02T20:12:48.014325
387,14,224,synthetic,real,2020-01-02T20:12:48.014325
388,32,245,real,synthetic,2020-01-02T20:12:48.014325
389,61,163,synthetic,synthetic,2020-01-02T20:12:48.014325
390,108,162,synthetic,synthetic,2020-01-02T20:12:48.014325
391,31,125,synthetic,real,2020-01-02T20:12:48.014325
392,84,187,real,real,2020-01-02T20:12:48.014325
393,100,164,synthetic,real,2020-01-02T20:12:48.014325
394,115,190,real,real,2020-01-02T20:12:48.014325
395,42,190,synthetic,real,2020-01-02T20:12:48.014325
396,54,247,synthetic,real,2020-01-02T20:12:48.014325
397,50,184,real,synthetic,2020-01-02T20:12:48.014325
398,41,189,real,synthetic,2020-01-02T20:12:48.014325
399,109,139,synthetic,synthetic,2020-01-02T20:12:48.014325
400,42,165,synthetic,real,2020-01-02T20:12:48.014325
401,108,228,real,synthetic,2020-01-02T20:12:48.014325
402,46,198,synthetic,synthetic,2020-01-02T20:12:48.014325
403,42,133,synthetic,real,2020-01-02T20:12:48.014325
404,37,124,real,synthetic,2020-01-02T20:12:48.014325
405,37,218,synthetic,real,2020-01-02T20:12:48.014325
406,49,236,synthetic,synthetic,2020-01-02T20:12:48.014325
407,86,130,synthetic,synthetic,2020-01-02T20:12:48.014325
408,24,146,real,synthetic,2020-01-02T20:12:48.014325
409,29,155,real,real,2020-01-02T20:12:48.014325
410,21,222,real,real,2020-01-02T20:12:48.014325
411,20,131,synthetic,real,2020-01-02T20:12:48.014325
412,106,175,synthetic,synthetic,2020-01-02T20:12:48.014325
413,99,198,real,synthetic,2020-01-02T20:12:48.014325
414,60,152,real,synthetic,2020-01-02T20:12:48.014325
415,105,240,synthetic,real,2020-01-02T20:12:48.014325
416,87,191,real,synthetic,2020-01-02T20:12:48.014325
417,41,137,real,synthetic,2020-01-02T20:12:48.014325
418,108,130,real,synthetic,2020-01-02T20:12:48.014325
419,120,169,synthetic,synthetic,2020-01-02T20:12:48.014325
420,45,230,synthetic,real,2020-01-02T20:12:48.014325
421,10,214,real,real,2020-01-02T20:12:48.014325
422,82,132,synthetic,real,2020-01-02T20:12:48.014325
423,18,186,real,real,2020-01-02T20:12:48.014325
424,40,222,real,synthetic,2020-01-02T20:12:48.014325
425,59,135,synthetic,synthetic,2020-01-02T20:12:48.014325
426,71,154,real,real,2020-01-02T20:12:48.014325
427,76,175,real,real,2020-01-02T20:12:48.014325
428,1,198,real,real,2020-01-02T20:12:48.014325
429,97,183,synthetic,synthetic,2020-01-02T20:12:48.014325
430,41,125,real,synthetic,2020-01-02T20:12:48.014325
431,78,172,synthetic,synthetic,2020-01-02T20:12:48.014325
432,94,178,synthetic,synthetic,2020-01-02T20:12:48.014325
433,48,189,synthetic,synthetic,2020-01-02T20:12:48.014325
434,98,171,real,real,2020-01-02T20:12:48.014325
435,81,162,synthetic,real,2020-01-02T20:12:48.014325
436,69,205,real,real,2020-01-02T20:12:48.014325
437,82,181,synthetic,real,2020-01-02T20:12:48.014325
438,53,222,synthetic,synthetic,2020-01-02T20:12:48.014325
439,47,235,synthetic,synthetic,2020-01-02T20:12:48.014325
440,8,161,real,real,2020-01-02T20:12:48.014325
441,28,153,real,synthetic,2020-01-02T20:12:48.014325
442,37,134,real,real,2020-01-02T20:12:48.014325
443,106,180,real,synthetic,2020-01-02T20:12:48.014325
444,117,166,real,real,2020-01-02T20:12:48.014325
445,86,235,real,real,2020-01-02T20:12:48.014325
446,69,191,synthetic,real,2020-01-02T20:12:48.014325
447,115,140,synthetic,synthetic,2020-01-02T20:12:48.014325
448,74,225,real,synthetic,2020-01-02T20:12:48.014325
449,66,157,real,real,2020-01-02T20:12:48.014325
450,73,146,real,real,2020-01-02T20:12:48.014325
451,99,224,real,real,2020-01-02T20:12:48.014325
452,43,244,synthetic,real,2020-01-02T20:12:48.014325
453,102,193,synthetic,synthetic,2020-01-02T20:12:48.014325
454,108,220,real,real,2020-01-02T20:12:48.014325
455,110,138,synthetic,real,2020-01-02T20:12:48.014325
456,26,182,real,synthetic,2020-01-02T20:12:48.014325
457,17,223,synthetic,real,2020-01-02T20:12:48.014325
458,17,238,synthetic,synthetic,2020-01-02T20:12:48.014325
459,107,131,synthetic,synthetic,2020-01-02T20:12:48.014325
460,71,203,synthetic,real,2020-01-02T20:12:48.014325
461,28,207,real,synthetic,2020-01-02T20:12:48.014325
462,73,187,synthetic,real,2020-01-02T20:12:48.014325
463,103,240,real,synthetic,2020-01-02T20:12:48.014325
464,77,131,real,synthetic,2020-01-02T20:12:48.014325
465,36,242,real,synthetic,2020-01-02T20:12:48.014325
466,35,213,synthetic,synthetic,2020-01-02T20:12:48.014325
467,57,229,real,real,2020-01-02T20:12:48.014325
468,14,137,synthetic,real,2020-01-02T20:12:48.014325
469,25,187,synthetic,synthetic,2020-01-02T20:12:48.014325
470,54,169,synthetic,synthetic,2020-01-02T20:12:48.014325
471,45,124,real,synthetic,2020-01-02T20:12:48.014325
472,27,236,synthetic,synthetic,2020-01-02T20:12:48.014325
473,38,128,real,synthetic,2020-01-02T20:12:48.014325
474,66,144,synthetic,real,2020-01-02T20:12:48.014325
475,24,172,synthetic,real,2020-01-02T20:12:48.014325
476,67,190,synthetic,synthetic,2020-01-02T20:12:48.014325
477,83,152,synthetic,real,2020-01-02T20:12:48.014325
